"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"14"	"M"	"9"	1	"Con2"	"LOB"	"NSOC"	"D2a"	8123	5164	0.738454545454545	2100	6075	8175	5307	6182	1541	7723	0.950757109442324	6182	1541	7723	0.950757109442324	0	1	0	1317	783	2100	1	758	0	758	0.12477366255144	2075	783	2858	0.34960244648318	0	0	0	0	0	0	4366	766	5132	0.967024684379122	0	0	TRUE	TRUE	1	"11_a"	"right"	"11_b"	"left"	3210	1350	4560	1350	3210	0.703947368421053	"left"	"novel"
"14"	"M"	"9"	2	"Con3"	"NLOB"	"SOC"	"D1b"	6879	4259	0.625363636363636	2165	5666	7831	4959	3903	2150	6053	0.879924407617386	3903	2150	6053	0.879924407617386	0	1	0	1824	341	2165	1	475	133	608	0.107306741969643	2299	474	2773	0.354105478227557	0	0	0	0	0	0	2526	1316	3842	0.774752974389998	0	0	TRUE	TRUE	1	"14_a"	"left"	"14_b"	"right"	1375	2483	3858	1375	2483	0.643597719025402	"left"	"familiar"
"14"	"M"	"9"	3	"Con4"	"NLOB"	"NSOC"	"D2b"	8414	4459	0.764909090909091	2340	5308	7648	5892	3582	1358	4940	0.58711671024483	3582	1358	4940	0.58711671024483	3063	0.617268524303386	0.364036130259092	533	741	1274	0.544444444444444	750	0	750	0.141296156744537	1283	741	2024	0.264644351464435	1066	0.455555555555556	408	0.0768651092690279	1474	0.192730125523013	2616	0	2616	0.443991853360489	3276	0.556008146639511	TRUE	TRUE	1	"3_a"	"right"	"3_b"	"left"	2117	1883	4000	1883	2117	0.52925	"left"	"novel"
"14"	"M"	"9"	4	"Con1"	"LOB"	"SOC"	"D1a"	8776	5631	0.797818181818182	2668	6383	9051	6385	1359	7018	8377	0.954535095715588	1359	7018	8377	0.954535095715588	0	1	0	0	2668	2668	1	1526	0	1526	0.239072536424879	1526	2668	4194	0.463374212794166	0	0	0	0	0	0	1834	4401	6235	0.976507439310885	0	0	TRUE	TRUE	1	"7_a"	"left"	"7_b"	"right"	1634	3607	5241	1634	3607	0.688227437511925	"left"	"familiar"
"14"	"M"	"9"	5	"Con2"	"LOB"	"NSOC"	"D2a"	7792	5218	0.708363636363636	2476	5099	7575	5075	2517	3826	6343	0.814040041067762	2517	3826	6343	0.814040041067762	934	0.871650405386835	0.119866529774127	0	2476	2476	1	891	0	891	0.174740145126495	891	2476	3367	0.444488448844884	0	0	0	0	0	0	2166	1676	3842	0.757044334975369	934	0.184039408866995	TRUE	TRUE	1	"9_a"	"left"	"9_b"	"right"	1859	2800	4659	1859	2800	0.60098733633827	"left"	"familiar"
"14"	"M"	"9"	6	"Con4"	"NLOB"	"NSOC"	"D2b"	7346	5351	0.667818181818182	2492	5431	7923	5150	2258	3968	6226	0.847536074053907	1583	3851	5434	0.73972229784917	519	0.912817067025029	0.0706506942553771	450	2042	2492	1	0	258	258	0.0475050635242129	450	2300	2750	0.347090748453869	0	0	900	0.165715337875161	900	0.11359333585763	1241	1534	2775	0.538834951456311	1358	0.26368932038835	TRUE	TRUE	1	"1_a"	"left"	"1_b"	"right"	2649	1613	4262	2649	1613	0.378460816518067	"left"	"familiar"
"14"	"M"	"9"	7	"Con1"	"LOB"	"SOC"	"D1a"	6118	5081	0.556181818181818	2475	4485	6960	2867	2875	2876	5751	0.940013076168683	2783	2876	5659	0.92497548218372	0	1	0	925	1550	2475	1	0	0	0	0	925	1550	2475	0.355603448275862	0	0	0	0	0	0	575	2200	2775	0.967910708057203	0	0	TRUE	TRUE	1	"5_a"	"right"	"5_b"	"left"	3351	1275	4626	1275	3351	0.724383916990921	"left"	"novel"
"14"	"M"	"9"	8	"Con3"	"NLOB"	"SOC"	"D1b"	8841	6725	0.803727272727273	2465	6559	9024	5483	5308	2961	8269	0.935301436489085	5308	2961	8269	0.935301436489085	0	1	0	2465	0	2465	1	0	826	826	0.125933831376734	2465	826	3291	0.36469414893617	0	0	0	0	0	0	2267	2983	5250	0.957505015502462	0	0	TRUE	TRUE	1	"13_a"	"right"	"13_b"	"left"	5226	1033	6259	1033	5226	0.834957660968206	"left"	"novel"
"14"	"M"	"9"	9	"Con4"	"NLOB"	"NSOC"	"D2b"	5667	4277	0.515181818181818	1918	3525	5443	3510	1783	2360	4143	0.731074642668078	1633	2360	3993	0.704605611434622	1250	0.761586877741751	0.220575260278807	267	1651	1918	1	0	0	0	0	267	1651	1918	0.3523792026456	0	0	192	0.054468085106383	192	0.0352746647069631	600	1468	2068	0.589173789173789	1250	0.356125356125356	TRUE	TRUE	1	"2_a"	"right"	"2_b"	"left"	2006	1759	3765	1759	2006	0.532802124833997	"left"	"novel"
"14"	"M"	"9"	10	"Con3"	"NLOB"	"SOC"	"D1b"	7278	4105	0.661636363636364	2066	5807	7873	5283	2368	3692	6060	0.832646331409728	2368	2308	4676	0.642484198955757	825	0.850027267769496	0.113355317394889	500	816	1316	0.636979670861568	1266	0	1266	0.218012743240916	1766	816	2582	0.327956306363521	0	0	0	0	0	0	2525	783	3308	0.62615937914064	825	0.156161272004543	TRUE	TRUE	1	"15_a"	"right"	"15_b"	"left"	2267	1333	3600	1333	2267	0.629722222222222	"left"	"novel"
"14"	"M"	"9"	11	"Con1"	"LOB"	"SOC"	"D1a"	4994	5723	0.454	1092	6491	7583	2941	2885	1641	4526	0.906287545054065	2885	1566	4451	0.891269523428114	108	0.976310594428603	0.0216259511413696	0	1017	1017	0.931318681318681	849	0	849	0.130796487444153	849	1017	1866	0.246076750626401	0	0	0	0	0	0	2608	0	2608	0.886773206392384	108	0.0367222033321999	TRUE	TRUE	1	"6_a"	"left"	"6_b"	"right"	2127	3041	5168	2127	3041	0.588428792569659	"right"	"novel"
"14"	"M"	"9"	12	"Con2"	"LOB"	"NSOC"	"D2a"	3447	3467	0.313363636363636	1841	3360	5201	642	2875	217	3092	0.897011894400928	2808	217	3025	0.877574702639977	0	1	0	1841	0	1841	1	0	0	0	0	1841	0	1841	0.353970390309556	0	0	0	0	0	0	325	217	542	0.844236760124611	0	0	TRUE	TRUE	1	"10_a"	"left"	"10_b"	"right"	2501	483	2984	2501	483	0.16186327077748	"left"	"familiar"
"14"	"M"	"9"	13	"Con4"	"NLOB"	"NSOC"	"D2b"	5820	7087	0.529090909090909	1084	7089	8173	4249	3060	1858	4918	0.845017182130584	3060	1858	4918	0.845017182130584	483	0.910572116274764	0.0829896907216495	1084	0	1084	1	0	1416	1416	0.199746085484554	1084	1416	2500	0.305885231861006	0	0	0	0	0	0	1150	2600	3750	0.882560602494705	483	0.113673805601318	TRUE	TRUE	1	"4_a"	"left"	"4_b"	"right"	3400	3344	6744	3400	3344	0.495848161328588	"left"	"familiar"
"14"	"M"	"9"	14	"Con2"	"LOB"	"NSOC"	"D2a"	8932	6555	0.812	2407	6924	9331	6057	6623	2001	8624	0.96551724137931	6623	2001	8624	0.96551724137931	0	1	0	2407	0	2407	1	1258	0	1258	0.181686886192952	3665	0	3665	0.392776765619976	0	0	0	0	0	0	3881	2001	5882	0.971107809146442	0	0	TRUE	TRUE	1	"12_a"	"right"	"12_b"	"left"	2517	3488	6005	3488	2517	0.419150707743547	"left"	"novel"
"14"	"M"	"9"	15	"Con3"	"NLOB"	"SOC"	"D1b"	8472	5349	0.770181818181818	2716	5626	8342	4925	6941	383	7324	0.864494806421152	6541	383	6924	0.81728045325779	783	0.898404048267809	0.0924220963172804	2716	0	2716	1	100	0	100	0.0177746178457163	2816	0	2816	0.337568928314553	0	0	517	0.0918947742623534	517	0.0619755454327499	3359	383	3742	0.759796954314721	783	0.158984771573604	TRUE	TRUE	1	"16_a"	"left"	"16_b"	"right"	2793	1908	4701	2793	1908	0.405871091257179	"left"	"familiar"
"14"	"M"	"9"	16	"Con1"	"LOB"	"SOC"	"D1a"	9350	7808	0.85	2590	8525	11115	7333	4809	4124	8933	0.955401069518717	4809	4124	8933	0.955401069518717	0	1	0	0	2590	2590	1	2100	0	2100	0.24633431085044	2100	2590	4690	0.421952316689159	0	0	0	0	0	0	6033	1300	7333	1	0	0	TRUE	TRUE	1	"8_a"	"right"	"8_b"	"left"	5605	1841	7446	1841	5605	0.752753156056943	"left"	"novel"
